mths_since_last_delinq,emp_length,purpose,open_acc,tot_cur_bal
13,< 1 year,debt_consolidation,14,19086
39,1 year,debt_consolidation,16,22487
7,2 years,car,13,11068
,10+ years,credit_card,12,204179
42,3 years,credit_card,11,260166
,2 years,debt_consolidation,12,54524
6,10+ years,debt_consolidation,9,183414
,7 years,credit_card,11,8964
20,10+ years,credit_card,18,531074
,10+ years,home_improvement,10,218908
,4 years,credit_card,8,18649
33,6 years,debt_consolidation,19,42190
,4 years,debt_consolidation,8,295828
,2 years,credit_card,15,9932
,10+ years,other,11,162911
24,2 years,debt_consolidation,12,370843
12,3 years,debt_consolidation,10,10615
,4 years,debt_consolidation,12,53992
,10+ years,debt_consolidation,30,422696
36,n/a,other,11,291028
20,10+ years,debt_consolidation,20,574616
,7 years,home_improvement,11,96547
24,6 years,debt_consolidation,11,11814
,4 years,credit_card,8,103440
,10+ years,credit_card,7,89015
,10+ years,debt_consolidation,17,97594
,7 years,debt_consolidation,5,18469
,2 years,credit_card,9,42903
,3 years,debt_consolidation,16,261570
,10+ years,debt_consolidation,10,42108
38,3 years,debt_consolidation,8,55957
,5 years,debt_consolidation,14,59899
,8 years,debt_consolidation,5,25272
69,9 years,debt_consolidation,8,16479
6,6 years,debt_consolidation,9,140120
51,5 years,debt_consolidation,12,31839
,< 1 year,car,11,14146
,10+ years,credit_card,12,
,9 years,debt_consolidation,6,21128
81,2 years,debt_consolidation,5,37482
29,10+ years,debt_consolidation,12,157105
,10+ years,debt_consolidation,11,156355
67,2 years,credit_card,5,169812
63,n/a,credit_card,16,216390
56,10+ years,debt_consolidation,13,321738
,10+ years,home_improvement,10,102637
143,10+ years,debt_consolidation,11,175955
5,6 years,debt_consolidation,13,45323
49,2 years,debt_consolidation,11,99694
,10+ years,credit_card,14,437232
,5 years,debt_consolidation,10,22904
,7 years,debt_consolidation,8,152545
62,2 years,credit_card,14,27193
,10+ years,debt_consolidation,13,100404
51,10+ years,debt_consolidation,19,182697
21,2 years,debt_consolidation,17,405888
9,3 years,small_business,7,40839
3,10+ years,small_business,14,22416
,3 years,debt_consolidation,3,307150
,2 years,debt_consolidation,17,81627
,n/a,debt_consolidation,10,268500
17,10+ years,credit_card,10,306724
,10+ years,debt_consolidation,27,176524
30,2 years,debt_consolidation,7,115935
34,< 1 year,credit_card,10,127474
65,10+ years,debt_consolidation,19,153683
,10+ years,credit_card,7,137374
,10+ years,credit_card,15,303237
56,< 1 year,credit_card,14,134991
,10+ years,credit_card,22,339550
,2 years,debt_consolidation,6,89060
,10+ years,debt_consolidation,8,272124
26,5 years,debt_consolidation,8,24157
,< 1 year,debt_consolidation,2,25499
50,10+ years,debt_consolidation,7,157547
,2 years,credit_card,13,426958
55,4 years,medical,7,29924
,2 years,debt_consolidation,7,31526
,< 1 year,home_improvement,13,31898
,n/a,debt_consolidation,5,6368
,10+ years,credit_card,8,346637
76,10+ years,debt_consolidation,10,228062
11,10+ years,credit_card,9,
50,1 year,credit_card,14,156189
24,10+ years,credit_card,19,312296
,9 years,credit_card,16,37338
76,4 years,debt_consolidation,14,21761
,10+ years,debt_consolidation,7,5665
,< 1 year,major_purchase,8,63483
,8 years,other,5,5059
47,< 1 year,debt_consolidation,18,111527
17,10+ years,debt_consolidation,11,58217
,3 years,debt_consolidation,18,35358
41,3 years,credit_card,16,1113569
32,10+ years,home_improvement,13,59512
46,4 years,home_improvement,13,144586
,2 years,debt_consolidation,5,27278
48,10+ years,vacation,8,175299
,8 years,credit_card,5,13120
18,7 years,debt_consolidation,21,291666
9,10+ years,other,17,26559
0,2 years,debt_consolidation,14,
24,10+ years,debt_consolidation,8,335158
,10+ years,other,11,126347
,9 years,debt_consolidation,12,190479
,10+ years,debt_consolidation,5,9402
,9 years,debt_consolidation,7,140316
,n/a,car,7,11119
,< 1 year,home_improvement,9,70960
38,10+ years,debt_consolidation,7,
80,9 years,debt_consolidation,9,28622
19,10+ years,debt_consolidation,7,
,< 1 year,debt_consolidation,9,22764
23,10+ years,credit_card,12,169288
,< 1 year,debt_consolidation,21,90528
,4 years,credit_card,5,
,7 years,debt_consolidation,8,30994
13,10+ years,credit_card,13,75383
,6 years,other,9,23871
13,4 years,debt_consolidation,7,9691
,10+ years,other,22,127330
,10+ years,debt_consolidation,9,205378
,3 years,vacation,4,14221
,10+ years,credit_card,13,95450
0,5 years,home_improvement,8,
64,2 years,debt_consolidation,5,11035
,n/a,credit_card,23,101215
,6 years,other,11,
,1 year,home_improvement,16,863809
,2 years,car,6,18072
20,6 years,credit_card,14,31476
35,3 years,debt_consolidation,20,79422
41,n/a,debt_consolidation,15,56534
,10+ years,debt_consolidation,11,15236
,1 year,debt_consolidation,10,46730
19,10+ years,credit_card,13,190008
,10+ years,debt_consolidation,10,58593
27,10+ years,other,10,27273
36,10+ years,debt_consolidation,20,35098
,10+ years,debt_consolidation,15,190512
,10+ years,credit_card,10,251953
58,2 years,credit_card,13,348073
29,10+ years,debt_consolidation,10,17392
,5 years,debt_consolidation,11,203829
36,10+ years,debt_consolidation,6,7983
30,9 years,debt_consolidation,7,105889
9,n/a,debt_consolidation,21,259944
6,10+ years,debt_consolidation,14,272410
68,2 years,debt_consolidation,14,141011
,10+ years,debt_consolidation,7,140580
38,10+ years,debt_consolidation,12,248171
,n/a,home_improvement,4,8104
,10+ years,home_improvement,5,114067
54,10+ years,debt_consolidation,15,395571
,2 years,credit_card,7,41810
,8 years,credit_card,11,113310
7,3 years,home_improvement,12,69721
,3 years,debt_consolidation,13,42814
18,< 1 year,debt_consolidation,7,34627
,7 years,credit_card,16,931213
,3 years,small_business,21,252427
,10+ years,credit_card,9,483853
33,9 years,debt_consolidation,13,78535
,10+ years,debt_consolidation,16,163262
,8 years,home_improvement,15,27070
,10+ years,credit_card,13,341974
,6 years,debt_consolidation,7,73777
,10+ years,debt_consolidation,13,253661
,10+ years,debt_consolidation,12,166065
,n/a,debt_consolidation,13,73857
,1 year,other,5,41703
17,10+ years,debt_consolidation,9,30036
,2 years,debt_consolidation,6,29543
,10+ years,home_improvement,11,
7,4 years,debt_consolidation,11,62185
,10+ years,debt_consolidation,7,393653
,10+ years,debt_consolidation,10,285744
5,10+ years,house,5,1408
,2 years,credit_card,13,590245
61,n/a,debt_consolidation,9,205866
34,10+ years,debt_consolidation,22,368614
16,9 years,debt_consolidation,8,106401
,6 years,debt_consolidation,11,74560
,8 years,credit_card,13,189603
51,10+ years,debt_consolidation,7,278571
24,n/a,credit_card,10,16264
,6 years,debt_consolidation,16,22162
,5 years,debt_consolidation,11,22675
19,9 years,debt_consolidation,9,134494
47,4 years,debt_consolidation,11,193392
71,3 years,credit_card,12,28010
45,4 years,home_improvement,21,721050
,10+ years,debt_consolidation,6,92606
,9 years,debt_consolidation,7,
,7 years,credit_card,8,68393
,3 years,debt_consolidation,10,18841
7,3 years,credit_card,13,40822
51,n/a,debt_consolidation,12,25615
4,10+ years,debt_consolidation,9,
,5 years,credit_card,12,31312
4,< 1 year,debt_consolidation,10,82024
9,10+ years,credit_card,11,426807
25,1 year,debt_consolidation,7,21960
,3 years,debt_consolidation,6,13494
15,5 years,credit_card,15,63880
57,9 years,major_purchase,4,35139
,5 years,debt_consolidation,4,141624
,1 year,credit_card,5,6865
5,10+ years,credit_card,28,36033
76,1 year,other,3,5360
,3 years,car,5,13440
62,5 years,home_improvement,10,247870
22,2 years,debt_consolidation,5,5463
,2 years,medical,11,32170
,n/a,debt_consolidation,10,106826
26,< 1 year,debt_consolidation,5,106258
,7 years,small_business,10,
7,10+ years,credit_card,17,230512
82,1 year,home_improvement,6,351780
4,10+ years,home_improvement,9,362917
